2025-01-26T21:32:22.626828Z [info     ] 2025-01-26 18:32:22,626 | INFO     | tap-csv              | Skipping deselected stream 'customers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.683461Z [info     ] 2025-01-26 18:32:22,683 | INFO     | tap-csv              | Skipping deselected stream 'suppliers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.683537Z [info     ] 2025-01-26 18:32:22,683 | INFO     | tap-csv              | Skipping deselected stream 'territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.683611Z [info     ] 2025-01-26 18:32:22,683 | INFO     | tap-csv              | Skipping deselected stream 'us_states'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=tap-csv
2025-01-26T21:32:22.865093Z [info     ] 2025-01-26 18:32:22,864 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:22.865384Z [info     ] 2025-01-26 18:32:22,865 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:22.865500Z [info     ] 2025-01-26 18:32:22,865 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.067386Z [info     ] 2025-01-26 18:32:23,067 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.067639Z [info     ] 2025-01-26 18:32:23,067 | INFO     | target-postgres.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.094574Z [info     ] 2025-01-26 18:32:23,094 | INFO     | target-postgres      | Target 'target-postgres' completed reading 2168 lines of input (2 schemas, 2163 records, 0 batch manifests, 3 state messages). cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.137586Z [info     ] 2025-01-26 18:32:23,137 | INFO     | target-postgres.order_details | Inserting with SQL: INSERT INTO "7599d4bc_9842_432f_98e2_30387f4589f9" (order_id, product_id, unit_price, quantity, discount) VALUES (:order_id, :product_id, :unit_price, :quantity, :discount) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.142115Z [info     ] 2025-01-26 18:32:23,141 | INFO     | target-postgres.public-categories | Inserting with SQL: INSERT INTO "68e5c190_75a4_419e_90dd_658a5116aa81" (category_id, category_name, description, picture) VALUES (:category_id, :category_name, :description, :picture) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.160340Z [info     ] 2025-01-26 18:32:23,160 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.06235623359680176, "tags": {"stream": "public-categories", "pid": 34874, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.235283Z [info     ] 2025-01-26 18:32:23,234 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.13741731643676758, "tags": {"stream": "order_details", "pid": 34874, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.243330Z [info     ] 2025-01-26 18:32:23,243 | INFO     | target-postgres.order_details | Cleaning up order_details cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.243609Z [info     ] 2025-01-26 18:32:23,243 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34874}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.243770Z [info     ] 2025-01-26 18:32:23,243 | INFO     | target-postgres.public-categories | Cleaning up public-categories cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.243879Z [info     ] 2025-01-26 18:32:23,243 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 8, "tags": {"stream": "public-categories", "pid": 34874}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.244000Z [info     ] 2025-01-26 18:32:23,243 | INFO     | target-postgres      | Emitting completed target state {"bookmarks": {"order_details": {}, "public-categories": {}}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=813a6830-1ea1-47a1-afce-733d6e6b6427 stdio=stderr string_id=target-postgres
2025-01-26T21:32:23.424947Z [info     ] Incremental state has been updated at 2025-01-26 21:32:23.424910+00:00.
2025-01-26T21:32:23.592052Z [info     ] Block run completed.           block_type=ExtractLoadBlocks err=None set_number=0 success=True
