2025-01-26T21:29:14.404292Z [info     ] 2025-01-26 18:29:14,404 | INFO     | tap-csv              | Skipping deselected stream 'categories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463784Z [info     ] 2025-01-26 18:29:14,463 | INFO     | tap-csv              | Skipping deselected stream 'suppliers'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.463906Z [info     ] 2025-01-26 18:29:14,463 | INFO     | tap-csv              | Skipping deselected stream 'territories'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.464028Z [info     ] 2025-01-26 18:29:14,463 | INFO     | tap-csv              | Skipping deselected stream 'us_states'. cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=tap-csv
2025-01-26T21:29:14.637213Z [info     ] 2025-01-26 18:29:14,636 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:14.637491Z [info     ] 2025-01-26 18:29:14,637 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:14.637630Z [info     ] 2025-01-26 18:29:14,637 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.015896Z [info     ] 2025-01-26 18:29:15,015 | INFO     | target-postgres      | Target 'target-postgres' completed reading 2158 lines of input (1 schemas, 2155 records, 0 batch manifests, 2 state messages). cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.084037Z [info     ] 2025-01-26 18:29:15,083 | INFO     | target-postgres.order_details | Inserting with SQL: INSERT INTO "3210ae7f_6237_4278_bdc2_995944121a32" (order_id, product_id, unit_price, quantity, discount) VALUES (:order_id, :product_id, :unit_price, :quantity, :discount) cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.222445Z [info     ] 2025-01-26 18:29:15,206 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "batch_processing_time", "value": 0.18788814544677734, "tags": {"stream": "order_details", "pid": 34124, "status": "succeeded"}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.222961Z [info     ] 2025-01-26 18:29:15,209 | INFO     | target-postgres.order_details | Cleaning up order_details cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.223108Z [info     ] 2025-01-26 18:29:15,209 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 2155, "tags": {"stream": "order_details", "pid": 34124}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.223220Z [info     ] 2025-01-26 18:29:15,209 | INFO     | target-postgres      | Emitting completed target state {"bookmarks": {"order_details": {}}} cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=52ebd6ce-0cca-44b3-b31b-40ceac417737 stdio=stderr string_id=target-postgres
2025-01-26T21:29:15.404486Z [info     ] Incremental state has been updated at 2025-01-26 21:29:15.404452+00:00.
2025-01-26T21:29:15.488440Z [info     ] Block run completed.           block_type=ExtractLoadBlocks err=None set_number=0 success=True
