2025-01-26T19:57:19.449909Z [info     ] 2025-01-26 16:57:19,449 | INFO     | tap-postgres.public-categories | Beginning full_table sync of 'public-categories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.490064Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.493199Z [info     ] 2025-01-26 16:57:19,493 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008553028106689453, "tags": {"stream": "public-customer_customer_demo", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.493379Z [info     ] 2025-01-26 16:57:19,493 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_customer_demo", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.493514Z [info     ] 2025-01-26 16:57:19,493 | INFO     | tap-postgres.public-customer_demographics | Beginning full_table sync of 'public-customer_demographics'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.493603Z [info     ] 2025-01-26 16:57:19,493 | INFO     | tap-postgres.public-customer_demographics | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.501262Z [info     ] 2025-01-26 16:57:19,501 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007547616958618164, "tags": {"stream": "public-customer_demographics", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.501505Z [info     ] 2025-01-26 16:57:19,501 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "public-customer_demographics", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.501650Z [info     ] 2025-01-26 16:57:19,501 | INFO     | tap-postgres.public-customers | Beginning full_table sync of 'public-customers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.501744Z [info     ] 2025-01-26 16:57:19,501 | INFO     | tap-postgres.public-customers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.516305Z [info     ] 2025-01-26 16:57:19,516 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.014379739761352539, "tags": {"stream": "public-customers", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.516531Z [info     ] 2025-01-26 16:57:19,516 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 91, "tags": {"stream": "public-customers", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.516641Z [info     ] 2025-01-26 16:57:19,516 | INFO     | tap-postgres.public-employee_territories | Beginning full_table sync of 'public-employee_territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.516743Z [info     ] 2025-01-26 16:57:19,516 | INFO     | tap-postgres.public-employee_territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.525431Z [info     ] 2025-01-26 16:57:19,525 | INFO     | target-csv           | Target 'target-csv' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.525713Z [info     ] 2025-01-26 16:57:19,525 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.525810Z [info     ] 2025-01-26 16:57:19,525 | INFO     | target-csv.public-categories | Initializing target sink for stream 'public-categories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.527590Z [info     ] 2025-01-26 16:57:19,527 | INFO     | target-csv.public-categories | Setting up public-categories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.528130Z [info     ] 2025-01-26 16:57:19,528 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.528268Z [info     ] 2025-01-26 16:57:19,528 | INFO     | target-csv.public-customer_customer_demo | Initializing target sink for stream 'public-customer_customer_demo'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.528421Z [info     ] 2025-01-26 16:57:19,528 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.011711359024047852, "tags": {"stream": "public-employee_territories", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.528538Z [info     ] 2025-01-26 16:57:19,528 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 49, "tags": {"stream": "public-employee_territories", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.528710Z [info     ] 2025-01-26 16:57:19,528 | INFO     | tap-postgres.public-employees | Beginning full_table sync of 'public-employees'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.528830Z [info     ] 2025-01-26 16:57:19,528 | INFO     | tap-postgres.public-employees | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.529361Z [info     ] 2025-01-26 16:57:19,529 | INFO     | target-csv.public-customer_customer_demo | Setting up public-customer_customer_demo cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.529517Z [info     ] 2025-01-26 16:57:19,529 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.529635Z [info     ] 2025-01-26 16:57:19,529 | INFO     | target-csv.public-customer_demographics | Initializing target sink for stream 'public-customer_demographics'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.530554Z [info     ] 2025-01-26 16:57:19,530 | INFO     | target-csv.public-customer_demographics | Setting up public-customer_demographics cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.530678Z [info     ] 2025-01-26 16:57:19,530 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.530760Z [info     ] 2025-01-26 16:57:19,530 | INFO     | target-csv.public-customers | Initializing target sink for stream 'public-customers'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.535138Z [info     ] 2025-01-26 16:57:19,534 | INFO     | target-csv.public-customers | Setting up public-customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.539628Z [info     ] 2025-01-26 16:57:19,539 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.010515451431274414, "tags": {"stream": "public-employees", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.539940Z [info     ] 2025-01-26 16:57:19,539 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 9, "tags": {"stream": "public-employees", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.540098Z [info     ] 2025-01-26 16:57:19,539 | INFO     | tap-postgres.public-orders | Beginning full_table sync of 'public-orders'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.540233Z [info     ] 2025-01-26 16:57:19,539 | INFO     | tap-postgres.public-orders | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.542815Z [info     ] 2025-01-26 16:57:19,542 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.543033Z [info     ] 2025-01-26 16:57:19,542 | INFO     | target-csv.public-employee_territories | Initializing target sink for stream 'public-employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.544036Z [info     ] 2025-01-26 16:57:19,543 | INFO     | target-csv.public-employee_territories | Setting up public-employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.545833Z [info     ] 2025-01-26 16:57:19,545 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.546036Z [info     ] 2025-01-26 16:57:19,545 | INFO     | target-csv.public-employees | Initializing target sink for stream 'public-employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.551730Z [info     ] 2025-01-26 16:57:19,551 | INFO     | target-csv.public-employees | Setting up public-employees cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.552933Z [info     ] 2025-01-26 16:57:19,552 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.553115Z [info     ] 2025-01-26 16:57:19,552 | INFO     | target-csv.public-orders | Initializing target sink for stream 'public-orders'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.557503Z [info     ] 2025-01-26 16:57:19,557 | INFO     | target-csv.public-orders | Setting up public-orders cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=target-csv
2025-01-26T19:57:19.584492Z [info     ] 2025-01-26 16:57:19,584 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.04423332214355469, "tags": {"stream": "public-orders", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.584714Z [info     ] 2025-01-26 16:57:19,584 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 830, "tags": {"stream": "public-orders", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.584841Z [info     ] 2025-01-26 16:57:19,584 | INFO     | tap-postgres.public-products | Beginning full_table sync of 'public-products'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.584949Z [info     ] 2025-01-26 16:57:19,584 | INFO     | tap-postgres.public-products | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.597622Z [info     ] 2025-01-26 16:57:19,597 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01227569580078125, "tags": {"stream": "public-products", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.597806Z [info     ] 2025-01-26 16:57:19,597 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "public-products", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.597895Z [info     ] 2025-01-26 16:57:19,597 | INFO     | tap-postgres.public-region | Beginning full_table sync of 'public-region'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.597995Z [info     ] 2025-01-26 16:57:19,597 | INFO     | tap-postgres.public-region | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.601116Z [info     ] 2025-01-26 16:57:19,601 | WARNING  | py.warnings          | /home/victor/Desktop/TESTE/code-challenge/.meltano/extractors/tap-postgres/venv/lib/python3.11/site-packages/singer_sdk/connectors/sql.py:1116: SAWarning: Did not recognize type 'bpchar' of column 'region_description' cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.601249Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.601351Z [info     ]                                cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.605122Z [info     ] 2025-01-26 16:57:19,604 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.007439851760864258, "tags": {"stream": "public-region", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.605343Z [info     ] 2025-01-26 16:57:19,605 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 4, "tags": {"stream": "public-region", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.605483Z [info     ] 2025-01-26 16:57:19,605 | INFO     | tap-postgres.public-shippers | Beginning full_table sync of 'public-shippers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.605637Z [info     ] 2025-01-26 16:57:19,605 | INFO     | tap-postgres.public-shippers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.613611Z [info     ] 2025-01-26 16:57:19,613 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.008051633834838867, "tags": {"stream": "public-shippers", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.613884Z [info     ] 2025-01-26 16:57:19,613 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 6, "tags": {"stream": "public-shippers", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.614039Z [info     ] 2025-01-26 16:57:19,613 | INFO     | tap-postgres.public-suppliers | Beginning full_table sync of 'public-suppliers'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.614177Z [info     ] 2025-01-26 16:57:19,613 | INFO     | tap-postgres.public-suppliers | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.625221Z [info     ] 2025-01-26 16:57:19,625 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0111083984375, "tags": {"stream": "public-suppliers", "pid": 13275, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.625528Z [info     ] 2025-01-26 16:57:19,625 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "public-suppliers", "pid": 13275, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.625672Z [info     ] 2025-01-26 16:57:19,625 | INFO     | tap-postgres.public-territories | Beginning full_table sync of 'public-territories'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
2025-01-26T19:57:19.625807Z [info     ] 2025-01-26 16:57:19,625 | INFO     | tap-postgres.public-territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=af045281-2608-4d0e-a8f0-31d810d6349e stdio=stderr string_id=tap-postgres
